Province,Year,ntl
Alborz,2017,4.396536827
Alborz,2018,4.605351448
Alborz,2019,4.72585392
Alborz,2020,4.967834949
Alborz,2021,5.087298393
Alborz,2022,5.639876366
Alborz,2023,6.744812965
Alborz,2024,7.167913437
Ardabil,2017,0.492727339
Ardabil,2018,0.43423903
Ardabil,2019,0.468979716
Ardabil,2020,0.429747641
Ardabil,2021,0.450371593
Ardabil,2022,0.50731498
Ardabil,2023,0.630164206
Ardabil,2024,0.648195982
Bushehr,2017,1.68000102
Bushehr,2018,1.741871357
Bushehr,2019,1.626921892
Bushehr,2020,1.626785755
Bushehr,2021,1.699780107
Bushehr,2022,2.018816471
Bushehr,2023,2.240406752
Bushehr,2024,2.300879002
Chaharmahal and Bakhtiari,2017,0.493795812
Chaharmahal and Bakhtiari,2018,0.492679536
Chaharmahal and Bakhtiari,2019,0.518985212
Chaharmahal and Bakhtiari,2020,0.542636931
Chaharmahal and Bakhtiari,2021,0.512870014
Chaharmahal and Bakhtiari,2022,0.531130791
Chaharmahal and Bakhtiari,2023,0.618688285
Chaharmahal and Bakhtiari,2024,0.591065526
East Azerbaijan,2017,0.666972756
East Azerbaijan,2018,0.617630601
East Azerbaijan,2019,0.647572577
East Azerbaijan,2020,0.66882503
East Azerbaijan,2021,0.689658999
East Azerbaijan,2022,0.681746066
East Azerbaijan,2023,0.821525991
East Azerbaijan,2024,0.860505342
Isfahan,2017,0.555985272
Isfahan,2018,0.546049476
Isfahan,2019,0.559024036
Isfahan,2020,0.569857001
Isfahan,2021,0.571489453
Isfahan,2022,0.600830853
Isfahan,2023,0.681326807
Isfahan,2024,0.684935629
Fars,2017,0.562020123
Fars,2018,0.584074318
Fars,2019,0.53699398
Fars,2020,0.546515107
Fars,2021,0.587064564
Fars,2022,0.643321097
Fars,2023,0.718379319
Fars,2024,0.755214095
Gilan,2017,1.224871516
Gilan,2018,1.246043205
Gilan,2019,1.340476871
Gilan,2020,1.3605479
Gilan,2021,1.361308336
Gilan,2022,1.508255243
Gilan,2023,1.770454526
Gilan,2024,1.807935238
Golestan,2017,0.561674297
Golestan,2018,0.543984294
Golestan,2019,0.560468733
Golestan,2020,0.554132223
Golestan,2021,0.560576797
Golestan,2022,0.571647108
Golestan,2023,0.769372404
Golestan,2024,0.762315035
Hamadan,2017,0.67774117
Hamadan,2018,0.61831218
Hamadan,2019,0.655104995
Hamadan,2020,0.630755663
Hamadan,2021,0.612131417
Hamadan,2022,0.631147504
Hamadan,2023,0.83109951
Hamadan,2024,0.815837502
Hormozgan,2017,0.5264768
Hormozgan,2018,0.527720094
Hormozgan,2019,0.542530477
Hormozgan,2020,0.54276675
Hormozgan,2021,0.588690579
Hormozgan,2022,0.639975309
Hormozgan,2023,0.755945981
Hormozgan,2024,0.827911973
Ilam,2017,1.211617231
Ilam,2018,1.111603618
Ilam,2019,0.84599185
Ilam,2020,0.870031595
Ilam,2021,1.010020971
Ilam,2022,1.136333823
Ilam,2023,1.131869555
Ilam,2024,1.109039545
Kerman,2017,0.205710843
Kerman,2018,0.208780482
Kerman,2019,0.205048814
Kerman,2020,0.211679414
Kerman,2021,0.22385639
Kerman,2022,0.244497746
Kerman,2023,0.274563253
Kerman,2024,0.320894092
Kermanshah,2017,0.71779418
Kermanshah,2018,0.712212443
Kermanshah,2019,0.687385857
Kermanshah,2020,0.695679426
Kermanshah,2021,0.707794964
Kermanshah,2022,0.703264773
Kermanshah,2023,0.861528099
Kermanshah,2024,0.867740929
Khuzestan,2017,2.721515417
Khuzestan,2018,2.636400461
Khuzestan,2019,2.06218791
Khuzestan,2020,1.878364325
Khuzestan,2021,2.369225502
Khuzestan,2022,2.69190073
Khuzestan,2023,2.928872824
Khuzestan,2024,3.067098379
Kohgiluyeh and Boyer-Ahmad,2017,1.209380031
Kohgiluyeh and Boyer-Ahmad,2018,1.50531745
Kohgiluyeh and Boyer-Ahmad,2019,1.081817508
Kohgiluyeh and Boyer-Ahmad,2020,0.941827178
Kohgiluyeh and Boyer-Ahmad,2021,1.537791133
Kohgiluyeh and Boyer-Ahmad,2022,1.886002183
Kohgiluyeh and Boyer-Ahmad,2023,2.146342754
Kohgiluyeh and Boyer-Ahmad,2024,2.173520327
Kurdistan,2017,0.27082032
Kurdistan,2018,0.253099591
Kurdistan,2019,0.270441324
Kurdistan,2020,0.283746511
Kurdistan,2021,0.303392291
Kurdistan,2022,0.295049161
Kurdistan,2023,0.410483927
Kurdistan,2024,0.414693743
Lorestan,2017,0.484275043
Lorestan,2018,0.448713303
Lorestan,2019,0.462522775
Lorestan,2020,0.491669476
Lorestan,2021,0.493353665
Lorestan,2022,0.502507329
Lorestan,2023,0.608080983
Lorestan,2024,0.623079538
Markazi,2017,0.670999348
Markazi,2018,0.635288358
Markazi,2019,0.662385821
Markazi,2020,0.678699434
Markazi,2021,0.709294856
Markazi,2022,0.765737116
Markazi,2023,0.932824492
Markazi,2024,0.9276402
Mazandaran,2017,1.375291586
Mazandaran,2018,1.417312503
Mazandaran,2019,1.408275127
Mazandaran,2020,1.434886694
Mazandaran,2021,1.395952463
Mazandaran,2022,1.513629436
Mazandaran,2023,1.725458384
Mazandaran,2024,1.683083773
North Khorasan,2017,0.197131634
North Khorasan,2018,0.20160456
North Khorasan,2019,0.215781733
North Khorasan,2020,0.22622177
North Khorasan,2021,0.231792212
North Khorasan,2022,0.243361443
North Khorasan,2023,0.309697121
North Khorasan,2024,0.30600825
Qazvin,2017,0.903804302
Qazvin,2018,0.906898379
Qazvin,2019,0.878408849
Qazvin,2020,0.908774137
Qazvin,2021,0.894156694
Qazvin,2022,0.908094943
Qazvin,2023,1.201335669
Qazvin,2024,1.184895039
Qom,2017,1.020779014
Qom,2018,1.00887692
Qom,2019,1.001003504
Qom,2020,0.979830682
Qom,2021,1.014018774
Qom,2022,1.072564125
Qom,2023,1.294096589
Qom,2024,1.299619794
Razavi Khorasan,2017,0.335043103
Razavi Khorasan,2018,0.340503722
Razavi Khorasan,2019,0.348984033
Razavi Khorasan,2020,0.364443034
Razavi Khorasan,2021,0.399145216
Razavi Khorasan,2022,0.402318418
Razavi Khorasan,2023,0.486822784
Razavi Khorasan,2024,0.478542954
Semnan,2017,0.144172832
Semnan,2018,0.149044752
Semnan,2019,0.150225788
Semnan,2020,0.152616099
Semnan,2021,0.151670098
Semnan,2022,0.146412492
Semnan,2023,0.173096448
Semnan,2024,0.174622297
Sistan and Baluchestan,2017,0.116055392
Sistan and Baluchestan,2018,0.116704613
Sistan and Baluchestan,2019,0.111039661
Sistan and Baluchestan,2020,0.114150874
Sistan and Baluchestan,2021,0.120919995
Sistan and Baluchestan,2022,0.126606241
Sistan and Baluchestan,2023,0.146724865
Sistan and Baluchestan,2024,0.168787539
South Khorasan,2017,0.092092767
South Khorasan,2018,0.089241222
South Khorasan,2019,0.09145017
South Khorasan,2020,0.094982192
South Khorasan,2021,0.097209431
South Khorasan,2022,0.101789191
South Khorasan,2023,0.112238847
South Khorasan,2024,0.118400835
Tehran,2017,5.186606407
Tehran,2018,5.287459373
Tehran,2019,5.356759548
Tehran,2020,5.480390549
Tehran,2021,5.425691605
Tehran,2022,5.800736904
Tehran,2023,6.588990211
Tehran,2024,6.771901608
West Azerbaijan,2017,0.551294684
West Azerbaijan,2018,0.511449635
West Azerbaijan,2019,0.535635471
West Azerbaijan,2020,0.54989773
West Azerbaijan,2021,0.567756712
West Azerbaijan,2022,0.576259375
West Azerbaijan,2023,0.737405479
West Azerbaijan,2024,0.784284115
Yazd,2017,0.17516233
Yazd,2018,0.175340042
Yazd,2019,0.17720972
Yazd,2020,0.185257018
Yazd,2021,0.187991306
Yazd,2022,0.217488289
Yazd,2023,0.250071704
Yazd,2024,0.262716174
Zanjan,2017,0.425337106
Zanjan,2018,0.415821373
Zanjan,2019,0.425552785
Zanjan,2020,0.439199656
Zanjan,2021,0.422300845
Zanjan,2022,0.427888662
Zanjan,2023,0.566366851
Zanjan,2024,0.578918815
